Catégorie,URL,Titre,Prix,Date of scraping
Catégorie 1,,,,
, https://khadmoneyacademy.com/course-category/development/ ," Level 04: Backend Web Development with Node.js, Express.js, and MySQL "," 10,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/development/ , Level 03: Mastering React.js: Building Dynamic Web Applications ," 10,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/development/ , Level 02: Mastering JavaScript Programming ," 10,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/development/ , Level 01: Introduction to Web Development Course ," 10,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/development/ ," Level 04: Backend Web Development with Node.js, Express.js, and MySQL "," 20,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/development/ , Level 03: Mastering React.js: Building Dynamic Web Applications ," 20,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/development/ , Level 02: Mastering JavaScript Programming ," 20,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/development/ , Level 01: Introduction to Web Development Course ," 20,000 DA ", 2023-07-26 
Catégorie 2,,,,
, https://khadmoneyacademy.com/course-category/design/ , Graphic Design Level 02 ," 10,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/design/ , Graphic Design Level 01 ," 10,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/design/ , Graphic Design All Levels ," 20,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/design/ , Graphic Design Level 02 ," 20,000 DA ", 2023-07-26 
, https://khadmoneyacademy.com/course-category/design/ , Graphic Design Level 01 ," 20,000 DA ", 2023-07-26 
